000101
$$  VEL-MODFILE Format 2001.09.26
$$  File was generated by UP_VELMOD at 2005.08.18-11:21:23
$$
$$  VLBI station velocities
$$  ~~~~~~~~~~~~~~~~~~~~~~~
$$
$$  Obtained from solution /tmp/2005d_3.vel
$$  Velocitites of some stations a replaced by values from /data1/save_files/itrf2000.vel
$$  They overwrote velocities from the solution.
$$  Velocities which were not estimated are taken from /lyra3/sol/2005b/2005b_apr.vel
$$
$$
$$  Modifications:
$$  Who  When        What
$$  pet  2005.12.22  Added velocities of BADARY, ZELENCHK, VERAIRIK, VERAISGK,
$$                   VERAOGSW. Set their velocity to NNR-NUVEL1A 
$$  pet  2005.12.29  Added velocity of station GEOCENTR
$$  pet  2006.01.19  Added velocity of DSS65A ( the same as DSS65 )
$$  pet  2006.03.30  Updated velocty of SINTOTU and  SINTOTU3
$$  pet  2006.09.05  Added apriori velocity of ATCA-104, CEDUNA and MOPRA --
$$                   NUVEL-NNR
$$  pet  2008.12.24  Added apriori velocity of CAMBRIDG, JODRELL2, TORUN and
$$                   WSTRB-07
$$  pet  2009.04.10  Added apriori velocity of DSS63
$$  pet  2010.09.12  Added stations ASKAP and WARKWORT   
$$  pet  2010.09.18  Added station  ATCAPN5
$$  pet  2010.11.08  Added HOBART12
$$  pet  2011.02.07  Added DSS34
$$  dad  2013.04.23  Added ARECIBO from re03fw.vex
$$
    NYALES20          -14.40            7.60            9.00    itrf2000.vel
    OCOTILLO          -28.20           23.31           13.67    2005d_3.vel
    OHIGGINS           17.45           -1.34           -1.46    2005d_3.vel
    ONSALA60          -13.40           14.80            9.50    itrf2000.vel
    ONSALA85          -13.40           14.80            9.50    as ONSALA60 
    OV-VLBA           -17.00            8.40           -7.00    itrf2000.vel
    OVR 7853          -17.00            8.40           -7.00    as OV-VLBA
    OVRO 130          -17.00            8.40           -7.00    as OV-VLBI 
    PARKES            -33.64           -4.77           47.90    2005d_3.vel
    PBLOSSOM          -15.72           28.69           -6.00    2005d_3.vel
    PENTICTN          -21.16          -13.77            7.18    2005d_3.vel
    PIETOWN           -14.70           -0.60           -8.40    itrf2000.vel
    PINFLATS          -23.52           15.09            5.43    2005d_3.vel
    PLATTVIL          -15.44           -2.80           -5.63    2005d_3.vel
    PRESIDIO          -19.19           27.22            4.14    2005d_3.vel
    PT REYES          -27.90           19.47           25.17    2005d_3.vel
    PUSHCHIN          -14.50           14.50            9.90    dali
    PVERDES           -24.72           35.43            6.33    2005d_3.vel
    QUINCY            -18.60            9.47           -7.60    2005d_3.vel
    RICHMOND           -9.70           -1.30            1.30    itrf2000.vel
    ROBLED32           -7.06           19.61           12.37    as DSS65 
    SAGARA            -10.62            1.86          -13.31    2005d_3.vel
    SANPAULA          -34.63           18.14           15.09    2005d_3.vel
    SANTIA12           22.10           -5.90           11.10    itrf2000.vel
    SARDINIA          -14.70           18.50           18.50    ga035a.vex
    SC-VLBA             8.50            7.30           12.10    itrf2000.vel
    SEATTLE1           -5.95           13.61          -24.18    2005d_3.vel
    SESHAN25          -30.70          -11.20          -13.40    itrf2000.vel
    SEST               -0.26           -4.69            7.70    2005d_3.vel
    SHANGHAI          -30.70          -11.20          -13.40    as SESHAN25 
    SINTOTU            -6.96            0.78          -12.48    2006b
    SINTOTU3           -6.96            0.78          -12.48    as SINTOTU
    SNDPOINT          -19.72            2.91          -10.11    2005d_3.vel
    SOURDOGH          -25.23            3.98          -20.09    2005d_3.vel
    SUWON             -28.50           -7.21          -10.20    2005d_3.vel
    SVETLOE           -21.39           12.95           -0.47    2005d_3.vel
    SYOWA               6.30           -2.02           -4.83    2005d_3.vel
    TATEYAMA           12.40            1.55            7.36    2005d_3.vel
    TIANMA65          -30.14          -10.95          -14.50    Weihua Wang 10.03.2014
    TIDBIN64          -37.60            1.10           44.00    as DSS45 
    TIGOCONC           34.21           -3.49           17.95    2005d_3.vel
    TIGOWTZL          -15.70           17.20            8.70    as WETTZELL 
    TITIJIMA           15.54           16.57            4.15    2005d_3.vel
    TOMAKO11            0.46            3.95           -2.35    2005d_3.vel
    TORUN             -16.00           16.46            7.50    NNR-NUVEL1A
    TOULOUSE          -13.40           18.80            8.80    2005d_3.vel
    TROMSONO          -17.97           21.59            7.07    2005d_3.vel
    TRYSILNO           -5.70            9.98           21.41    2005d_3.vel
    TSUKU3             -1.20            7.30           -8.70    as TSUKUB32 
    TSUKUB32           -1.20            7.30           -8.70    itrf2000.vel
    TSUKUBA            -0.52            6.05           -7.64    2005d_3.vel
    UCHINOUR           -0.52            6.05           -7.64    as TSUKB32
    URUMQI            -31.00           -3.07            2.58    2005d_3.vel
    USSURISK          -21.40           -5.30          -10.7     NNR-NUVEL1A
    USUDA64            -4.30            4.80           -5.10    2005d_3.vel
    VERAIRIK          -11.34           -3.95           -7.07    v2
    VERAISGK          -25.70            4.55          -40.19    v2
    VERAMZSW            3.35            5.70           -3.32    2005d_3.vel 
    VERAOGSW           33.90           19.14           28.60    v2
    VERNAL            -14.91           -8.22           -1.84    2005d_3.vel
    VICTORIA          -10.46           -1.30           -6.34    2005d_3.vel
    VLA               -14.70           -0.60           -8.40    as PIETOWN 
    VLA-N8            -14.70           -0.60           -8.40    as PIETOWN 
    VLBA85 3          -14.70           -0.60           -8.40    as PIETOWN 
    VNDNBERG          -31.20           30.00           19.50    itrf2000.vel
    WARK12M           -19.60           -2.50           34.10    http://arxiv.org/pdf/1502.06802v1.pdf
    WARK30M           -19.60           -2.50           34.10    http://arxiv.org/pdf/1502.06802v1.pdf
    WESTFORD          -15.60           -1.30            2.60    itrf2000.vel
    WETTZ13N          -15.70           17.20            8.70    as WETTZELL
    WETTZ13S          -15.70           17.20            8.70    as WETTZELL
    WETTZELL          -15.70           17.20            8.70    itrf2000.vel
    WHTHORSE           24.84           41.93          -86.87    2005d_3.vel
    WIDE85 3          -14.70           -0.60           -8.40    as PIETOWN 
    WSTRB-07          -13.52           17.05            8.73    NNR-NUVEL1A
    WSTRBORK          -13.53           17.04            8.73    raes05d.vex
    YAKATAGA          -21.78           22.81           25.55    2005d_3.vel
    YAMAGU32            0.00            0.00            0.00    m131229.vex
    YARRA12M          -47.45            9.12           51.76    NNR-NUVEL1A
    YEBES              -9.91           19.86            9.89    2005d_3.vel
    YEBES40M           -9.91           19.86            9.89    as YEBES
    YELLOWKN          -19.80           -4.09           -1.27    as YELLOWKN 
    YLOW7296          -19.80           -4.09           -1.27    2005d_3.vel
    YUMA              -17.58          -11.47           -0.22    2005d_3.vel
    ZELENCHK          -19.69           14.47            5.55    2008c.vel
