! tile     RA          DEC
! number   [rad]       [rad]
    671    5.192355    +1.340649
    672    5.279621    +1.340649
    673    5.366887    +1.340649
    674    5.454154    +1.340649
    675    5.541420    +1.340649
    676    5.628687    +1.340649
    677    5.715953    +1.340649
    678    5.803220    +1.340649
    679    5.890486    +1.340649
    680    5.977753    +1.340649
    681    6.065019    +1.340649
    682    6.152286    +1.340649
    683    6.239552    +1.340649
    684    0.041337    +1.327802
    685    0.124010    +1.327802
    686    0.206684    +1.327802
    687    0.289357    +1.327802
    688    0.372031    +1.327802
    689    0.454704    +1.327802
    690    0.537378    +1.327802
    691    0.620051    +1.327802
    692    0.702725    +1.327802
    693    0.785398    +1.327802
    694    0.868072    +1.327802
    695    0.950745    +1.327802
    696    1.033419    +1.327802
    697    1.116092    +1.327802
    698    1.198766    +1.327802
    699    1.281439    +1.327802
    700    1.364113    +1.327802
    701    1.446786    +1.327802
    702    1.529460    +1.327802
    703    1.612133    +1.327802
    704    1.694807    +1.327802
    705    1.777480    +1.327802
    706    1.860154    +1.327802
    707    1.942827    +1.327802
    708    2.025501    +1.327802
    709    2.108174    +1.327802
    710    2.190848    +1.327802
    711    2.273521    +1.327802
    712    2.356194    +1.327802
    713    2.438868    +1.327802
    714    2.521541    +1.327802
    715    2.604215    +1.327802
    716    2.686888    +1.327802
    717    2.769562    +1.327802
    718    2.852235    +1.327802
    719    2.934909    +1.327802
    720    3.017582    +1.327802
    721    3.100256    +1.327802
    722    3.182929    +1.327802
    723    3.265603    +1.327802
    724    3.348276    +1.327802
    725    3.430950    +1.327802
    726    3.513623    +1.327802
    727    3.596297    +1.327802
    728    3.678970    +1.327802
    729    3.761644    +1.327802
    730    3.844317    +1.327802
    731    3.926991    +1.327802
    732    4.009664    +1.327802
    733    4.092338    +1.327802
    734    4.175011    +1.327802
    735    4.257685    +1.327802
    736    4.340358    +1.327802
    737    4.423032    +1.327802
    738    4.505705    +1.327802
    739    4.588379    +1.327802
    740    4.671052    +1.327802
    741    4.753726    +1.327802
    742    4.836399    +1.327802
    743    4.919073    +1.327802
    744    5.001746    +1.327802
    745    5.084420    +1.327802
    746    5.167093    +1.327802
    747    5.249767    +1.327802
    748    5.332440    +1.327802
    749    5.415114    +1.327802
    750    5.497787    +1.327802
    751    5.580461    +1.327802
    752    5.663134    +1.327802
    753    5.745808    +1.327802
    754    5.828481    +1.327802
    755    5.911155    +1.327802
    756    5.993828    +1.327802
    757    6.076502    +1.327802
    758    6.159175    +1.327802
    759    6.241849    +1.327802
    760    0.039270    +1.314944
    761    0.117810    +1.314944
    762    0.196350    +1.314944
    763    0.274889    +1.314944
    764    0.353429    +1.314944
    765    0.431969    +1.314944
    766    0.510509    +1.314944
    767    0.589049    +1.314944
    768    0.667588    +1.314944
    769    0.746128    +1.314944
    770    0.824668    +1.314944
    771    0.903208    +1.314944
    772    0.981748    +1.314944
    773    1.060288    +1.314944
    774    1.138827    +1.314944
    775    1.217367    +1.314944
    776    1.295907    +1.314944
    777    1.374447    +1.314944
    778    1.452987    +1.314944
    779    1.531526    +1.314944
    780    1.610066    +1.314944
    781    1.688606    +1.314944
    782    1.767146    +1.314944
    783    1.845686    +1.314944
    784    1.924226    +1.314944
    785    2.002765    +1.314944
    786    2.081305    +1.314944
    787    2.159845    +1.314944
    788    2.238385    +1.314944
    789    2.316925    +1.314944
    790    2.395464    +1.314944
    791    2.474004    +1.314944
    792    2.552544    +1.314944
    793    2.631084    +1.314944
    794    2.709624    +1.314944
    795    2.788163    +1.314944
    796    2.866703    +1.314944
    797    2.945243    +1.314944
    798    3.023783    +1.314944
    799    3.102323    +1.314944
    800    3.180863    +1.314944
    801    3.259402    +1.314944
    802    3.337942    +1.314944
    803    3.416482    +1.314944
    804    3.495022    +1.314944
    805    3.573562    +1.314944
    806    3.652101    +1.314944
    807    3.730641    +1.314944
    808    3.809181    +1.314944
    809    3.887721    +1.314944
    810    3.966261    +1.314944
    811    4.044801    +1.314944
    812    4.123340    +1.314944
    813    4.201880    +1.314944
    814    4.280420    +1.314944
    815    4.358960    +1.314944
    816    4.437500    +1.314944
    817    4.516039    +1.314944
    818    4.594579    +1.314944
    819    4.673119    +1.314944
    820    4.751659    +1.314944
    821    4.830199    +1.314944
    822    4.908739    +1.314944
    823    4.987278    +1.314944
    824    5.065818    +1.314944
    825    5.144358    +1.314944
    826    5.222898    +1.314944
    827    5.301438    +1.314944
    828    5.379977    +1.314944
    829    5.458517    +1.314944
    830    5.537057    +1.314944
    831    5.615597    +1.314944
    832    5.694137    +1.314944
    833    5.772677    +1.314944
    834    5.851216    +1.314944
    835    5.929756    +1.314944
    836    6.008296    +1.314944
    837    6.086836    +1.314944
    838    6.165376    +1.314944
    839    6.243915    +1.314944
    840    0.037400    +1.302076
    841    0.112200    +1.302076
    842    0.187000    +1.302076
    843    0.261799    +1.302076
    844    0.336599    +1.302076
    845    0.411399    +1.302076
    846    0.486199    +1.302076
    847    0.560999    +1.302076
    848    0.635799    +1.302076
    849    0.710598    +1.302076
    850    0.785398    +1.302076
    851    0.860198    +1.302076
    852    0.934998    +1.302076
    853    1.009798    +1.302076
    854    1.084597    +1.302076
    855    1.159397    +1.302076
    856    1.234197    +1.302076
    857    1.308997    +1.302076
    858    1.383797    +1.302076
    859    1.458597    +1.302076
    860    1.533396    +1.302076
    861    1.608196    +1.302076
    862    1.682996    +1.302076
    863    1.757796    +1.302076
    864    1.832596    +1.302076
    865    1.907396    +1.302076
    866    1.982195    +1.302076
    867    2.056995    +1.302076
    868    2.131795    +1.302076
    869    2.206595    +1.302076
    870    2.281395    +1.302076
    871    2.356194    +1.302076
    872    2.430994    +1.302076
    873    2.505794    +1.302076
    874    2.580594    +1.302076
    875    2.655394    +1.302076
    876    2.730194    +1.302076
    877    2.804993    +1.302076
    878    2.879793    +1.302076
    879    2.954593    +1.302076
    880    3.029393    +1.302076
    881    3.104193    +1.302076
    882    3.178993    +1.302076
    883    3.253792    +1.302076
    884    3.328592    +1.302076
    885    3.403392    +1.302076
    886    3.478192    +1.302076
    887    3.552992    +1.302076
    888    3.627792    +1.302076
    889    3.702591    +1.302076
    890    3.777391    +1.302076
    891    3.852191    +1.302076
    892    3.926991    +1.302076
    893    4.001791    +1.302076
    894    4.076590    +1.302076
    895    4.151390    +1.302076
    896    4.226190    +1.302076
    897    4.300990    +1.302076
    898    4.375790    +1.302076
    899    4.450590    +1.302076
    900    4.525389    +1.302076
    901    4.600189    +1.302076
    902    4.674989    +1.302076
    903    4.749789    +1.302076
    904    4.824589    +1.302076
    905    4.899389    +1.302076
    906    4.974188    +1.302076
    907    5.048988    +1.302076
    908    5.123788    +1.302076
    909    5.198588    +1.302076
    910    5.273388    +1.302076
    911    5.348187    +1.302076
    912    5.422987    +1.302076
    913    5.497787    +1.302076
    914    5.572587    +1.302076
    915    5.647387    +1.302076
    916    5.722187    +1.302076
    917    5.796986    +1.302076
    918    5.871786    +1.302076
    919    5.946586    +1.302076
    920    6.021386    +1.302076
    921    6.096186    +1.302076
    922    6.170986    +1.302076
    923    6.245785    +1.302076
    924    0.035700    +1.289196
    925    0.107100    +1.289196
    926    0.178500    +1.289196
    927    0.249899    +1.289196
    928    0.321299    +1.289196
    929    0.392699    +1.289196
    930    0.464099    +1.289196
    931    0.535499    +1.289196
    932    0.606899    +1.289196
    933    0.678298    +1.289196
    934    0.749698    +1.289196
    935    0.821098    +1.289196
    936    0.892498    +1.289196
    937    0.963898    +1.289196
    938    1.035298    +1.289196
    939    1.106697    +1.289196
    940    1.178097    +1.289196
    941    1.249497    +1.289196
    942    1.320897    +1.289196
    943    1.392297    +1.289196
    944    1.463697    +1.289196
    945    1.535096    +1.289196
    946    1.606496    +1.289196
    947    1.677896    +1.289196
    948    1.749296    +1.289196
    949    1.820696    +1.289196
    950    1.892096    +1.289196
    951    1.963495    +1.289196
    952    2.034895    +1.289196
    953    2.106295    +1.289196
    954    2.177695    +1.289196
    955    2.249095    +1.289196
    956    2.320495    +1.289196
    957    2.391894    +1.289196
    958    2.463294    +1.289196
    959    2.534694    +1.289196
    960    2.606094    +1.289196
    961    2.677494    +1.289196
    962    2.748894    +1.289196
    963    2.820293    +1.289196
    964    2.891693    +1.289196
    965    2.963093    +1.289196
    966    3.034493    +1.289196
    967    3.105893    +1.289196
    968    3.177293    +1.289196
    969    3.248692    +1.289196
    970    3.320092    +1.289196
    971    3.391492    +1.289196
    972    3.462892    +1.289196
    973    3.534292    +1.289196
    974    3.605692    +1.289196
    975    3.677091    +1.289196
    976    3.748491    +1.289196
    977    3.819891    +1.289196
    978    3.891291    +1.289196
    979    3.962691    +1.289196
    980    4.034091    +1.289196
    981    4.105490    +1.289196
    982    4.176890    +1.289196
    983    4.248290    +1.289196
    984    4.319690    +1.289196
    985    4.391090    +1.289196
    986    4.462490    +1.289196
    987    4.533889    +1.289196
    988    4.605289    +1.289196
    989    4.676689    +1.289196
    990    4.748089    +1.289196
    991    4.819489    +1.289196
    992    4.890889    +1.289196
